           1  -1.49376392E-02
           2  -2.47301459E-02
           3  -3.42755318E-02
           4  -4.34783697E-02
           5  -5.22468686E-02
           6  -6.04933500E-02
           7  -6.81354403E-02
           8  -7.50967264E-02
           9  -8.13076496E-02
          10  -8.67061615E-02
          11  -9.12384093E-02
          12  -9.48589444E-02
          13  -9.75316018E-02
          14  -9.92299542E-02
          15  -9.99367386E-02
